# This file give you represants of all isomorphism classes of homogeneous projective polynomials over P_2 by applying PGL_3 and their class size.
# Homogeneous Degree | Field Order
5 | 2
# Constant_(xpower)(ypower)(zpower) .... | Isomorphism Class size
1_005 | 7
1_014 | 42
1_023 | 42
1_014 1_023 | 21
1_005 1_014 1_023 | 21
1_005 1_032 | 42
1_014 1_032 | 21
1_005 1_014 1_032 | 42
1_014 1_041 | 7
1_005 1_014 1_041 | 21
1_005 1_023 1_041 | 21
1_014 1_023 1_041 | 42
1_005 1_032 1_041 | 42
1_005 1_014 1_050 | 14
1_005 1_023 1_050 | 42
1_023 1_104 | 84
1_032 1_104 | 168
1_041 1_104 | 84
1_023 1_041 1_104 | 84
1_032 1_041 1_104 | 168
1_050 1_104 | 168
1_023 1_050 1_104 | 168
1_032 1_050 1_104 | 168
1_023 1_032 1_050 1_104 | 168
1_113 | 84
1_005 1_113 | 84
1_032 1_113 | 168
1_005 1_032 1_113 | 168
1_041 1_113 | 168
1_005 1_041 1_113 | 168
1_032 1_041 1_113 | 168
1_005 1_032 1_041 1_113 | 168
1_050 1_113 | 168
1_005 1_050 1_113 | 168
1_032 1_050 1_113 | 168
1_005 1_032 1_050 1_113 | 168
1_041 1_050 1_113 | 168
1_005 1_041 1_050 1_113 | 168
1_032 1_041 1_050 1_113 | 168
1_005 1_032 1_041 1_050 1_113 | 168
1_122 | 84
1_005 1_122 | 168
1_014 1_122 | 168
1_005 1_014 1_122 | 168
1_005 1_041 1_122 | 168
1_014 1_041 1_122 | 84
1_005 1_014 1_041 1_122 | 168
1_005 1_050 1_122 | 84
1_005 1_014 1_050 1_122 | 168
1_005 1_014 1_041 1_050 1_122 | 84
1_113 1_122 | 84
1_005 1_113 1_122 | 84
1_014 1_113 1_122 | 168
1_041 1_113 1_122 | 168
1_014 1_041 1_113 1_122 | 84
1_005 1_014 1_041 1_113 1_122 | 84
1_050 1_113 1_122 | 168
1_005 1_050 1_113 1_122 | 168
1_014 1_050 1_113 1_122 | 168
1_005 1_014 1_050 1_113 1_122 | 168
1_104 1_113 1_122 | 84
1_005 1_104 1_113 1_122 | 84
1_014 1_104 1_113 1_122 | 168
1_041 1_104 1_113 1_122 | 168
1_014 1_041 1_104 1_113 1_122 | 84
1_005 1_014 1_041 1_104 1_113 1_122 | 84
1_050 1_104 1_113 1_122 | 168
1_005 1_050 1_104 1_113 1_122 | 168
